outcode,pct_private_rented,pct_students,pct_employed
CM8,9.9,17.5,61.4
CM9,19.9,14.5,54.9
CO1,42.4,17.6,63.8
CO10,11.7,15.5,55.4
CO11,16.5,15.9,57.5
CO12,12.3,16.1,51.7
CO13,13.2,12.4,41.4
CO14,23.6,12.7,39.1
CO15,48.4,16.7,46.1
CO16,20.3,15.6,52.7
CO2,33.2,44.0,38.4
CO3,42.4,17.6,63.8
CO4,15.7,18.4,56.3
CO5,11.2,13.1,46.9
CO6,11.9,15.2,55.2
CO7,10.6,15.8,55.5
CO8,11.7,15.5,55.4
CO9,18.8,18.1,61.0
CR0,35.3,26.6,60.4
CR2,47.3,18.5,68.2
CR3,11.7,17.9,58.1
CR4,25.0,25.5,63.1
CR5,8.0,20.8,67.6
CR6,10.1,18.0,58.0
CR7,30.9,24.1,60.3
CR8,14.1,21.3,64.7
CT1,33.8,38.4,41.8
CT12,14.4,16.6,50.0
CT13,14.6,15.2,50.4
CT14,14.7,17.1,51.2
CT15,11.7,12.7,45.1
CT16,10.4,14.4,53.1
CT17,38.2,19.7,59.5
CT18,11.1,14.3,55.4
CT19,20.7,19.5,60.7
CT2,14.0,19.3,56.0
CT20,20.7,19.5,60.7
CT21,9.4,14.4,53.9
CT3,10.2,20.8,61.8
CT4,16.0,53.6,28.6
CT5,10.3,15.0,47.6
CT6,9.1,13.9,46.0
CT7,14.4,12.3,41.4
CT8,27.0,15.9,52.5
CT9,15.5,14.3,47.6
CV1,61.8,56.1,32.9
CV10,13.0,18.7,67.8
CV11,15.1,14.7,60.8
CV12,9.7,13.4,49.0
CV13,13.7,16.2,57.1
CV2,13.4,18.7,60.7
CV21,43.3,18.1,72.2
CV22,11.7,23.5,66.3
CV23,11.7,23.5,66.3
CV3,10.8,16.0,58.6
CV31,31.2,26.4,58.0
CV32,28.2,22.8,56.6
CV33,10.7,32.9,47.2
CV34,15.9,20.0,65.4
CV35,10.0,20.6,66.3
CV36,12.6,18.3,63.3
CV37,13.7,17.8,58.1
CV4,16.6,19.2,62.6
CV47,10.7,16.8,65.8
CV5,12.0,17.5,56.9
CV6,22.3,20.6,61.6
CV7,11.1,19.2,57.6
CV8,20.3,18.8,56.1
CV9,19.3,17.1,57.2
CW1,16.5,20.8,61.7
CW10,11.1,17.2,59.5
CW11,11.9,14.8,54.5
CW12,9.8,17.5,58.5
CW2,9.9,16.6,61.6
CW3,13.8,14.7,56.1
CW4,10.0,18.3,54.0
CW5,14.1,21.5,65.4
CW6,11.9,15.8,54.0
CW7,15.5,19.6,61.7
CW8,8.5,17.0,55.3
CW9,11.1,17.2,59.5
DA1,11.3,23.4,61.6
DA10,21.8,21.1,66.6
DA11,29.1,24.5,64.0
DA12,26.3,22.3,64.2
DA13,8.4,16.0,54.6
DA14,16.6,18.3,57.9
DA15,9.0,19.1,62.9
DA16,15.9,20.1,63.0
DA17,17.3,20.8,62.6
DA18,19.2,27.0,59.4
DA2,8.4,18.0,58.6
DA3,9.2,16.1,54.8
DA4,11.9,16.3,59.9
DA5,8.2,18.7,57.1
DA6,20.6,18.4,62.5
DA7,20.6,18.4,62.5
DA8,11.3,23.4,61.6
DA9,21.8,21.1,66.6
DE1,51.9,26.9,58.1
DE11,21.6,19.6,69.4
DE12,11.9,16.2,59.7
DE13,29.3,23.5,64.3
DE14,37.5,22.3,62.8
DE15,11.4,21.5,57.0
DE21,10.9,15.4,53.3
DE22,35.4,38.3,42.7
DE23,35.9,26.4,52.3
DE24,23.9,21.1,60.9
DE3,11.2,17.2,57.7
DE4,13.7,14.1,53.0
DE45,19.3,14.3,52.1
DE5,13.9,17.1,57.4
DE55,10.6,13.9,54.1
DE56,13.6,21.0,58.0
